date,max_temp,min_temp
2026-08-10,27.0,9.2
2026-08-11,26.0,10.4
2026-08-12,25.2,10.8
2026-08-13,22.7,10.2
2026-08-14,20.9,9.1
2026-08-15,23.5,8.9
2026-08-16,23.8,11.9
